,company
0,06MAGNA
1,08OCTAVA
2,11BIT
3,3RGAMES
4,4FUNMEDIA
5,4MASS
6,ABPL
7,ACAUTOGAZ
8,ACTION
9,ADIUVO
10,AGORA
11,AGROTON
12,AIGAMES
13,AILLERON
14,AIRWAY
15,ALIOR
16,ALLEGRO
17,ALTA
18,ALTUS
19,ALUMETAL
20,AMBRA
21,AMICA
22,AMPLI
23,AMREST
24,ANSWEAR
25,APATOR
26,APLISENS
27,APSENERGY
28,ARCHICOM
29,ARCTIC
30,ARTERIA
31,ARTIFEX
32,ASBIS
33,ASMGROUP
34,ASSECOBS
35,ASSECOPOL
36,ASSECOSEE
37,ASTARTA
38,ATAL
39,ATENDE
40,ATLANTAPL
41,ATLANTIS
42,ATLASEST
43,ATMGRUPA
44,ATREM
45,AUGA
46,AUTOPARTN
47,BAHOLDING
48,BBIDEV
49,BEDZIN
50,BENEFIT
51,BERLING
52,BEST
53,BETACOM
54,BIGCHEESE
55,BIOCELTIX
56,BIOMAXIMA
57,BIOMEDLUB
58,BIOPLANET
59,BIOTON
60,BLOOBER
61,BNPPPL
62,BOGDANKA
63,BOOMBIT
64,BORYSZEW
65,BOS
66,BOWIM
67,BRAND24
68,BRASTER
69,BUDIMEX
70,BUMECH
71,CAPITAL
72,CAPITEA
73,CAPTORTX
74,CASPAR
75,CAVATINA
76,CCC
77,CCENERGY
78,CDPROJEKT
79,CDRL
80,CELTIC
81,CEZ
82,CFI
83,CIECH
84,CIGAMES
85,CITYSERV
86,CLNPHARMA
87,CLOUD
88,CNT
89,COALENERG
90,COGNOR
91,COLUMBUS
92,COMARCH
93,COMP
94,COMPERIA
95,COMPREMUM
96,CORMAY
97,CPGROUP
98,CPIEUROPE
99,CREEPYJAR
100,CREOTECH
101,CYBERFLKS
102,CYFRPLSAT
103,CZTOREBKA
104,DADELO
105,DATAWALK
106,DBENERGY
107,DEBICA
108,DECORA
109,DEKPOL
110,DELKO
111,DEVELIA
112,DGA
113,DIAG
114,DIGITANET
115,DIGITREE
116,DINOPL
117,DMGROUP
118,DOMDEV
119,DRAGOENT
120,DREWEX
121,DROZAPOL
122,ECBSA
123,ECHO
124,EDINVEST
125,EFEKT
126,EKOEXPORT
127,ELEKTROTI
128,ELKOP
129,ELZAB
130,EMCINSMED
131,ENAP
132,ENEA
133,ENELMED
134,ENERGA
135,ENERGOINS
136,ENTER
137,EQUNICO
138,ERBUD
139,ERG
140,ESOTIQ
141,ESTAR
142,EUCO
143,EUROCASH
144,EUROHOLD
145,EUROTEL
146,FABRITY
147,FAMUR
148,FASING
149,FASTFIN
150,FEERUM
151,FERRO
152,FERRUM
153,FMG
154,FON
155,FORTE
156,GAMEOPS
157,GAMFACTOR
158,GENOMTEC
159,GETBACK
160,GETIN
161,GETINOBLE
162,GIGROUP
163,GLCOSMED
164,GOBARTO
165,GPW
166,GREENX
167,GRENEVIA
168,GROCLIN
169,GRODNO
170,GRUPAAZOTY
171,GRUPRACUJ
172,GTC
173,HANDLOWY
174,HARPER
175,HELIO
176,HERKULES
177,HMINWEST
178,HOLLYWOOD
179,HUUUGE
180,HUUUGE-S144
181,HYDROTOR
182,I2DEV
183,IBSM
184,IDMSA
185,IFCAPITAL
186,IFIRMA
187,IFSA
188,IIAAV
189,IMCOMPANY
190,IMMOBILE
